"","from","to","weight"
"1",1,5,8
"2",1,7,3
"3",1,18,3
"4",1,19,4
"5",1,20,2
"6",1,21,1
"7",1,22,2
"8",1,27,5
"9",1,33,5
"10",1,42,6
"11",1,44,5
"12",1,46,6
"13",1,47,4
"14",1,49,3
"15",1,60,4
"16",1,65,3
"17",1,67,3
"18",1,69,6
"19",1,70,5
"20",1,73,5
"21",1,76,1
"22",1,93,4
"23",1,96,2
"24",1,97,3
"25",1,100,2
"26",1,107,3
"27",1,111,6
"28",1,2,6
"29",1,10,5
"30",1,12,5
"31",1,16,8
"32",1,79,5
"33",1,81,5
"34",1,82,4
"35",1,85,3
"36",1,99,3
"37",1,3,2
"38",1,8,5
"39",1,9,5
"40",1,34,3
"41",1,62,1
"42",1,63,5
"43",1,71,5
"44",1,75,3
"45",1,83,4
"46",1,30,4
"47",1,64,2
"48",1,90,1
"49",1,4,4
"50",1,23,3
"51",1,52,3
"52",1,57,2
"53",1,74,4
"54",1,80,3
"55",1,92,2
"56",1,115,5
"57",1,6,4
"58",1,13,1
"59",1,28,1
"60",1,35,1
"61",1,38,2
"62",1,39,2
"63",1,41,4
"64",1,48,3
"65",1,58,2
"66",1,78,3
"67",1,87,3
"68",1,109,2
"69",1,110,4
"70",1,114,4
"71",1,118,1
"72",1,24,2
"73",1,25,3
"74",1,26,2
"75",1,36,2
"76",1,37,2
"77",1,40,1
"78",1,45,2
"79",1,51,2
"80",1,53,3
"81",1,54,1
"82",1,55,1
"83",1,56,2
"84",1,72,2
"85",1,77,1
"86",1,84,1
"87",1,88,1
"88",1,95,1
"89",1,102,3
"90",1,104,1
"91",1,116,1
"92",1,29,1
"93",1,94,1
"94",1,59,1
"95",1,103,1
"96",1,14,1
"97",1,17,2
"98",1,66,1
"99",1,11,1
"100",1,32,1
"101",1,68,1
"102",1,105,1
"103",2,5,5
"104",2,10,3
"105",2,12,3
"106",2,16,6
"107",2,46,5
"108",2,79,4
"109",2,81,3
"110",2,82,3
"111",2,85,3
"112",2,99,2
"113",2,111,4
"114",2,3,1
"115",2,8,3
"116",2,9,2
"117",2,34,3
"118",2,62,1
"119",2,63,3
"120",2,71,3
"121",2,73,3
"122",2,75,3
"123",2,83,4
"124",2,4,3
"125",2,23,3
"126",2,27,3
"127",2,42,4
"128",2,52,2
"129",2,57,2
"130",2,69,3
"131",2,74,3
"132",2,80,3
"133",2,92,2
"134",2,115,4
"135",2,6,4
"136",2,7,2
"137",2,18,2
"138",2,19,3
"139",2,24,2
"140",2,25,2
"141",2,26,2
"142",2,30,2
"143",2,33,3
"144",2,36,2
"145",2,37,2
"146",2,38,1
"147",2,39,1
"148",2,40,1
"149",2,41,2
"150",2,44,2
"151",2,45,2
"152",2,48,2
"153",2,49,2
"154",2,51,2
"155",2,53,2
"156",2,54,1
"157",2,55,1
"158",2,56,2
"159",2,64,2
"160",2,65,1
"161",2,70,2
"162",2,72,2
"163",2,77,1
"164",2,78,2
"165",2,84,1
"166",2,87,2
"167",2,88,1
"168",2,93,2
"169",2,95,1
"170",2,96,1
"171",2,97,2
"172",2,102,3
"173",2,104,1
"174",2,109,1
"175",2,110,2
"176",2,114,3
"177",2,116,1
"178",2,58,1
"179",2,59,1
"180",2,60,2
"181",2,67,2
"182",2,100,2
"183",2,103,1
"184",2,11,1
"185",2,17,1
"186",2,22,1
"187",2,32,1
"188",2,47,1
"189",2,68,1
"190",2,105,1
"191",2,107,1
"192",2,86,1
"193",3,5,2
"194",3,8,3
"195",3,9,2
"196",3,10,1
"197",3,34,2
"198",3,46,1
"199",3,62,1
"200",3,63,3
"201",3,71,2
"202",3,73,3
"203",3,75,2
"204",3,82,1
"205",3,83,1
"206",3,4,1
"207",3,6,1
"208",3,12,1
"209",3,13,1
"210",3,16,1
"211",3,19,2
"212",3,28,1
"213",3,30,1
"214",3,35,1
"215",3,38,1
"216",3,39,1
"217",3,41,1
"218",3,44,1
"219",3,48,1
"220",3,52,1
"221",3,58,1
"222",3,70,1
"223",3,78,1
"224",3,79,1
"225",3,81,1
"226",3,87,1
"227",3,93,1
"228",3,109,1
"229",3,110,1
"230",3,111,1
"231",3,114,1
"232",3,115,1
"233",3,118,1
"234",3,7,1
"235",3,32,1
"236",3,45,1
"237",3,60,1
"238",4,16,5
"239",4,23,2
"240",4,27,4
"241",4,34,3
"242",4,42,4
"243",4,46,3
"244",4,52,4
"245",4,57,2
"246",4,69,3
"247",4,74,3
"248",4,79,5
"249",4,80,3
"250",4,81,3
"251",4,92,2
"252",4,111,4
"253",4,115,4
"254",4,6,5
"255",4,8,3
"256",4,9,5
"257",4,12,3
"258",4,13,2
"259",4,19,4
"260",4,28,2
"261",4,30,4
"262",4,35,1
"263",4,38,2
"264",4,39,3
"265",4,41,3
"266",4,44,3
"267",4,48,3
"268",4,58,1
"269",4,63,2
"270",4,70,3
"271",4,71,3
"272",4,73,4
"273",4,75,3
"274",4,78,3
"275",4,87,4
"276",4,93,3
"277",4,109,2
"278",4,110,3
"279",4,114,4
"280",4,118,1
"281",4,5,5
"282",4,7,4
"283",4,10,2
"284",4,18,3
"285",4,24,2
"286",4,25,2
"287",4,26,2
"288",4,33,3
"289",4,36,2
"290",4,37,2
"291",4,40,1
"292",4,45,2
"293",4,49,3
"294",4,51,1
"295",4,53,2
"296",4,54,1
"297",4,55,1
"298",4,56,2
"299",4,64,1
"300",4,65,1
"301",4,72,2
"302",4,77,1
"303",4,83,2
"304",4,84,1
"305",4,85,1
"306",4,88,1
"307",4,95,1
"308",4,96,2
"309",4,97,3
"310",4,99,3
"311",4,102,3
"312",4,104,1
"313",4,116,1
"314",4,11,1
"315",4,17,2
"316",4,22,2
"317",4,32,3
"318",4,47,2
"319",4,60,1
"320",4,67,1
"321",4,68,2
"322",4,82,2
"323",4,105,2
"324",4,107,1
"325",4,59,1
"326",4,15,1
"327",4,76,1
"328",4,86,1
"329",4,89,1
"330",4,91,1
"331",4,101,1
"332",4,108,1
"333",4,113,1
"334",4,117,1
"335",5,7,5
"336",5,18,5
"337",5,19,6
"338",5,20,1
"339",5,21,1
"340",5,22,4
"341",5,27,4
"342",5,33,7
"343",5,42,7
"344",5,44,3
"345",5,46,8
"346",5,47,4
"347",5,49,4
"348",5,60,4
"349",5,65,3
"350",5,67,3
"351",5,69,3
"352",5,70,4
"353",5,73,7
"354",5,76,2
"355",5,93,4
"356",5,96,4
"357",5,97,5
"358",5,100,3
"359",5,107,3
"360",5,111,5
"361",5,10,5
